#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
228,-8.441000000,12.121430946,17951,12.121397018,17951,0.000278963,12.121409720,17951,0.000175111
229,-8.394600000,12.217547775,17952,12.217517853,17952,0.000243742,12.217530485,17952,0.000141518
230,-7.733600000,12.317135331,17953,12.317107201,17953,0.000231413,12.317118597,17953,0.000135864
231,-7.963000000,12.441863892,17954,12.441837311,17954,0.000213401,12.441848991,17954,0.000119759
232,-9.179100000,12.555286451,19907,12.555307388,19907,0.000166305,12.555307331,19907,0.000166305
233,-8.873900000,12.411615282,19908,12.411641121,19908,0.000210806,12.411641446,19908,0.000210806
234,-8.281900000,12.269724970,19909,12.269755363,19909,0.000245575,12.269748884,19909,0.000194897
235,-8.121400000,12.205399711,19910,12.205427170,19910,0.000226814,12.205421144,19910,0.000175601
236,-7.835200000,12.250862069,19911,12.250886917,19911,0.000202252,12.250880618,19911,0.000151417
237,-7.907800000,12.370129309,19912,12.370153427,19912,0.000198361,12.370147679,19912,0.000148502
238,-6.726300000,12.463581267,19913,12.463605881,19913,0.000194147,12.463599343,19913,0.000145033
239,-4.832300000,12.600677358,19914,12.600708008,19914,0.000240008,12.600701546,19914,0.000191957
240,-4.639000000,12.752522121,19915,12.752548218,19915,0.000204986,12.752542280,19915,0.000158072
241,-5.367700000,12.889533679,19916,12.889563560,19916,0.000233362,12.889557839,19916,0.000187441
242,-5.002300000,12.870033183,19917,12.870058060,19917,0.000194121,12.870052832,19917,0.000152666
243,-2.621300000,13.062490417,19918,13.062515259,19918,0.000189620,13.062509929,19918,0.000149378
